data,size,algo,buildtime,querytime,params,recall
clip768v2,30M,NSG32,9275.327924728394,0.8757481575012207,"query=(search_L=89,ep=original,threads=32)",0.93591
clip768v2,30M,NSG32,9275.327924728394,1.1142628192901611,"query=(search_L=80,ep=kmeans,threads=32)",0.93705
clip768v2,30M,NSG32,9275.327924728394,1.0855765342712402,"query=(search_L=102,ep=original,threads=16)",0.94209
clip768v2,30M,NSG32,9275.327924728394,2.2561028003692627,"query=(search_L=98,ep=kmeans,threads=64)",0.94549
clip768v2,30M,NSG32,9275.327924728394,0.9998452663421631,"query=(search_L=66,ep=kmeans,threads=16)",0.92721
clip768v2,30M,NSG32,9275.327924728394,1.9516115188598633,"query=(search_L=113,ep=kmeans,threads=64)",0.95029
clip768v2,30M,NSG32,9275.327924728394,1.055232286453247,"query=(search_L=112,ep=original,threads=32)",0.94544
clip768v2,30M,NSG32,9275.327924728394,1.2522482872009277,"query=(search_L=87,ep=original,threads=64)",0.9348
clip768v2,30M,NSG32,9275.327924728394,1.1571745872497559,"query=(search_L=85,ep=kmeans,threads=16)",0.9397
clip768v2,30M,NSG32,9275.327924728394,1.055746078491211,"query=(search_L=99,ep=original,threads=16)",0.94083
clip768v2,30M,NSG32,9275.327924728394,1.4343585968017578,"query=(search_L=127,ep=kmeans,threads=32)",0.95476
clip768v2,30M,NSG32,9275.327924728394,1.027592658996582,"query=(search_L=72,ep=kmeans,threads=32)",0.93249
clip768v2,30M,NSG32,9275.327924728394,2.0706961154937744,"query=(search_L=208,ep=kmeans,threads=16)",0.95997
clip768v2,30M,NSG32,9275.327924728394,1.1096982955932617,"query=(search_L=75,ep=original,threads=64)",0.92824
clip768v2,30M,NSG32,9275.327924728394,1.0726232528686523,"query=(search_L=101,ep=original,threads=16)",0.94168
clip768v2,30M,NSG32,9275.327924728394,1.8158149719238281,"query=(search_L=79,ep=kmeans,threads=64)",0.93659
clip768v2,30M,NSG32,9275.327924728394,1.1330962181091309,"query=(search_L=86,ep=kmeans,threads=32)",0.94019
clip768v2,30M,NSG32,9275.327924728394,1.7980899810791016,"query=(search_L=92,ep=kmeans,threads=64)",0.94272
clip768v2,30M,NSG32,9275.327924728394,1.1876895427703857,"query=(search_L=92,ep=kmeans,threads=16)",0.94272
clip768v2,30M,NSG32,9275.327924728394,1.071901798248291,"query=(search_L=73,ep=kmeans,threads=16)",0.93306
clip768v2,30M,NSG32,9275.327924728394,2.054065465927124,"query=(search_L=87,ep=kmeans,threads=64)",0.94063
clip768v2,30M,NSG32,9275.327924728394,1.538590908050537,"query=(search_L=144,ep=kmeans,threads=16)",0.9592
